"Affiliated entity","Affiliated entity ID","Number of facilities","Number of states and territories with operations","Number of Special Focus Facilities (SFF)","Number of SFF candidates","Number of facilities with an abuse icon","Percentage of facilities with an abuse icon","Percent of facilities classified as for-profit","Percent of facilities classified as non-profit","Percent of facilities classified as government-owned","Average overall 5-star rating","Average health inspection rating","Average staffing rating","Average quality rating","Average total nurse hours per resident day","Average total weekend nurse hours per resident day","Average total Registered Nurse hours per resident day","Average total nursing staff turnover percentage","Average Registered Nurse turnover percentage","Average number of administrators who have left the nursing home","Total number of fines","Average number of fines","Total amount of fines in dollars","Average amount of fines in dollars","Total number of payment denials","Average number of payment denials","Average percentage of short-stay residents who were re-hospitalized after a nursing home admission","Average percentage of short-stay residents who have had an outpatient emergency department visit","Average percentage of short-stay residents who newly received an antipsychotic medication","Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened","Average percentage of short-stay residents who made improvements in function","Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days","Average percentage of long-stay residents who received an antipsychotic medication","Average percentage of long-stay residents experiencing one or more falls with major injury","Average percentage of long-stay high-risk residents with pressure ulcers","Average percentage of long-stay residents with a urinary tract infection","Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder","Average percentage of long-stay residents whose ability to move independently worsened","Average percentage of long-stay residents whose need for help with activities of daily living has increased","Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average percentage of long-stay residents who were physically restrained","Average percentage of long-stay low-risk residents who lose control of their bowels or bladder","Average percentage of long-stay residents who lose too much weight","Average percentage of long-stay residents who have symptoms of depression","Average percentage of long-stay residents who used antianxiety or hypnotic medication","Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF","Average percentage of current residents up to date with COVID-19 vaccines","Average percentage of healthcare personnel up to date with COVID-19 vaccines"
AVAMERE,58,33,2,1,0,6,18.2,100,0,0,2.9,2.7,3.5,3.8,4.5,3.9,0.7,52.7,58.1,1,81,2.5,2498395.66,75708.96,6,0.2,19.6,15,1.3,2.7,80.3,82.9,88.4,1.39,1.18,14.2,2.8,8.6,2.2,2,21.7,14.3,93.8,94.8,0,55,5.5,10.4,10.6,9.2,40.9,5.4
"AVANTE CENTERS",59,11,1,0,0,0,0,100,0,0,2.4,2.5,2.4,3.5,3.5,3.2,0.5,"","","",9,0.8,138296.25,12572.39,0,0,27.8,10.3,2.3,2.6,83.2,72.8,75.1,2.64,0.96,8.9,2.1,9.7,0.9,0.8,10.2,8.1,93.3,91.9,0,53.3,7.7,2.2,20.6,11.2,23.8,1.9
"AVENTURA HEALTH GROUP",60,12,3,0,1,1,8.3,83.3,16.7,0,1.6,1.8,1.8,2.8,3.4,3.1,0.5,58.8,58.6,1.2,36,3,1027863.26,85655.27,5,0.4,26.1,12.5,2.1,2.4,72.3,56.9,59.3,1.96,1.19,15.7,2.8,8.6,0.9,0.7,16,16.7,88.8,78.2,0,46.8,8.3,17.8,20.3,10.4,20.3,16.2
"AVERA HEALTH",61,10,3,0,0,0,0,0,100,0,4,3.3,4.5,3.4,4,3.4,1,38.6,24.2,1.3,15,1.5,84655.15,8465.52,1,0.1,18.4,13.9,2,2.4,83.9,88.2,94.4,1.33,1.22,14,4.5,5.5,2,2,18,16.5,99,98.5,0,55.4,4.3,2.1,13.6,9.6,62.2,3.1
"AXIOM HEALTHCARE SERVICES",62,5,2,0,0,0,0,100,0,0,4,3.4,3.8,4.4,4.9,4.3,0.9,67.8,64.4,1,13,2.6,118871.35,23774.27,0,0,25,7.1,0.5,2.4,78,92.3,91.4,1.77,0.66,6.1,7.6,8.7,0.2,0.7,17.7,16.1,98.1,97.7,0,42.8,2.5,4.2,18.3,10,36,11
"AYDEN HEALTHCARE",63,13,2,0,0,1,7.7,100,0,0,2,1.9,1.5,4.2,3.3,2.9,0.6,60.8,63.8,0.8,51,3.9,514996.11,39615.09,1,0.1,22.9,13.1,1.4,2.4,78.9,67.5,66.9,1.52,1.44,12.5,1.8,6.7,0.8,0.5,8.4,11.1,92.1,83.4,0,35.2,4.9,40.2,24.6,10.8,24.6,1.7
"AZRIA HEALTH",64,11,3,0,1,0,0,100,0,0,1.9,2.1,2.8,2.1,3.9,3.4,0.5,57.7,59.4,1.3,18,1.6,482091.48,43826.5,9,0.8,26.5,14.4,2.5,3.5,81.5,64.9,68.3,2.06,1.68,16.6,3.5,8.7,3.5,2.4,21.1,16.1,92.2,82.8,0.4,45.7,5.1,3.1,19.7,9.8,38.5,2.3
"B.V. GENERAL",65,5,1,0,0,1,20,100,0,0,2.2,2,1.6,4.4,3.8,3.5,0.3,67.6,73.5,2,3,0.6,22750,4550,1,0.2,24,15.3,1.4,0.7,85.5,91.1,92.5,2.22,1.24,7.5,1.2,6.9,0.7,2,12.5,9.3,95.7,95.1,0,41.9,5.2,14,8.7,11.2,20.2,0.7
"BALL HEALTHCARE SERVICES",66,10,1,0,0,1,10,100,0,0,2.2,2.3,3,2.9,3.4,2.8,0.6,39.4,31.2,0.6,5,0.5,119156.05,11915.61,0,0,20.1,13.2,3.6,4.2,72.6,72.2,81.8,2.06,1.11,17.7,2.3,11.1,4.4,2.1,17.5,13.9,88.5,86,0.2,37.4,6.2,0.5,18.7,10.1,41,8
"BALLAD HEALTH",67,4,2,0,0,0,0,0,75,25,3.3,3.8,3.3,2.3,4.2,3.4,0.9,48.6,45.2,1,2,0.5,1300,325,0,0,22.5,12,2.7,4.3,58,69.6,87.2,1.41,0.98,16.7,1.4,6.3,3.5,3.2,28.9,25.4,94.1,94.4,1.8,51.9,2.9,2.4,24.8,10.5,26,5.6
"BANECARE MANAGEMENT",68,8,1,0,0,0,0,100,0,0,3.4,3.1,3,4,3.6,3.2,0.6,53.9,56.5,0.5,20,2.5,304596.6,38074.58,0,0,23.2,9.3,1.4,2.9,79.5,82.9,76.2,1.43,0.69,21.3,4.5,8.1,2.1,1,14.4,13.3,95.3,85.5,0,59.5,6,0.8,15.8,10.5,30.7,4.5
"BEACON HEALTH MANAGEMENT",69,25,2,2,0,0,0,100,0,0,1.2,1.6,1.4,1.7,3.2,2.8,0.5,67.5,74.7,1.2,273,10.9,2659621.29,106384.85,11,0.4,23,18.3,5.2,4.3,72.3,68.1,65.8,1.95,1.84,35.4,4,7.8,3.2,1.7,20.6,19,94.8,84.9,0.1,38,7.1,5.7,31,10.6,10.6,3.5
"BEAR MOUNTAIN HEALTHCARE",70,13,2,0,2,2,15.4,100,0,0,2,2.2,2.3,2.8,3.3,3,0.5,48.2,56.4,1.3,40,3.1,1357621.97,104432.46,3,0.2,24.9,12.5,1.6,2,71.1,66,67.5,1.91,1.06,20.7,3,9.8,2.1,1.3,17.7,16.8,94.3,82.1,0.1,53.4,6.3,2.6,21,11,28.8,15.6
"BEDFORD CARE CENTERS",71,7,1,0,0,1,14.3,100,0,0,2.4,2.6,3.1,2,4.1,3.6,0.6,61.2,50.7,0.4,11,1.6,107290.2,15327.17,0,0,31.4,11.5,1.6,1.2,60.3,74.3,95.9,2.82,2.27,20.9,2.9,7.6,3,1.5,20.1,13.5,92.4,98.6,0.5,51.4,10.9,5.9,25.6,11.5,46.9,2.7
"BEDROCK CARE",72,19,2,0,2,3,15.8,100,0,0,1.8,1.8,1.9,3.1,3.6,3.3,0.6,64.9,64.8,1,51,2.7,886463.27,46655.96,1,0.1,25.4,11,1.8,2.4,78.1,62.4,62.2,1.81,0.95,15.2,2.3,8.3,2.5,1.7,17.3,14.9,94,87.3,0,50.6,7.5,2.5,20.2,10.9,10.8,5.8
"BEDROCK HEALTHCARE",73,10,4,0,1,3,30,100,0,0,1.2,1.3,2.8,2.4,3.8,3.4,0.6,62.3,66.3,1.2,30,3,1206687.39,120668.74,8,0.8,27.6,15.7,1.4,4.5,77.1,62,70.6,1.83,1.8,15.8,3.6,13.1,3.1,2.5,20.2,16.9,86.9,85.1,0,52.3,9,11.3,15.2,10.7,35.1,2.6
"BEEBE FAMILY",74,39,2,0,0,1,2.6,100,0,0,2.3,2.8,2.3,1.7,3.6,3,0.3,52.7,36.5,0.4,37,0.9,620939.75,15921.53,6,0.2,28.7,16,3.3,3.1,66.3,88,93.9,2.58,1.91,18.3,4,9.5,3,1.8,15.8,18.2,96.8,98.8,0,44.3,4.8,1.3,20,11.3,38.6,7.5
"BENEDICTINE HEALTH SYSTEM",75,22,4,0,0,0,0,0,100,0,2.9,2.7,3.7,3.2,3.8,3.3,0.9,54.7,46.3,0.8,31,1.4,721075.19,32776.15,7,0.3,20.5,12.7,1.8,2.7,74.1,84.8,88.2,1.55,1.29,16.9,3.4,7.8,2.9,2.3,15.6,14.7,96.2,93.4,0,52.1,5.1,5.5,14.5,9.8,46.3,9.3
"BENJAMIN LANDA & BENT PHILIPSON",76,61,5,1,5,8,13.1,100,0,0,2.7,2.6,2.7,3.5,3.6,3.2,0.5,53.2,54.4,0.9,119,2,2565085.19,42050.58,1,0,23.7,11.5,1.6,2.2,73.4,81.9,81,2.24,1.24,10.7,3,9.2,1.5,0.8,12.3,12.5,95.8,92,0,40.2,6.4,9,20.1,10.8,36.3,10.1
"BENT PHILIPSON",572,9,4,0,0,0,0,100,0,0,3.1,3,2.6,4,3.8,3.4,0.6,51,52.7,1,14,1.6,67599.91,7511.1,2,0.2,25.1,10.5,2.4,1.1,74.9,79.5,79.3,1.86,0.89,17,2.3,9.1,1.2,1.7,10,8.7,94.1,84.1,0,47.2,7.7,19,15.7,10.5,4.8,0.3
"BEST CARE SERVICES",583,8,1,1,1,2,25,100,0,0,1.9,1.9,3.1,2,3.5,3.1,0.6,48.6,64.2,1.3,61,7.6,1594927.32,199365.92,4,0.5,26.6,15,1.5,2.8,70.2,56.1,65.2,2.04,1.56,18.4,5.1,5.7,2.2,0.8,23.3,21.9,89.2,83.6,0,60,7.5,3.5,16.9,11.5,27.3,17.6
"BETHESDA HEALTH",77,2,2,0,0,0,0,0,100,0,3.5,3.5,3,3.5,4.4,3.8,0.6,"","",2,4,2,51109,25554.5,0,0,23.6,15.8,1,4.4,78.3,48.7,47.5,2.27,1.73,0.8,7.5,14,1.4,0,19.2,16.5,85.9,73.8,0,79.6,14.8,14.4,17.6,10.7,7.8,0
"BGM ESTATE",78,14,1,0,1,2,14.3,100,0,0,1.9,2.2,1.8,2.7,3.4,3.1,0.3,59.5,46.7,1.3,59,4.2,979045.12,69931.79,8,0.6,27.7,13.5,3.3,3.7,68.2,70.9,73.5,2.61,1.96,11.7,4.5,11.2,5.2,1.9,9.6,11.1,90.6,82.5,0.3,35.3,3.8,2.9,27,11.3,32,18.5
"BHCP OK4 HH-H SPONSOR, LLC",79,7,1,0,1,0,0,100,0,0,2.1,2.6,2.3,1.7,3.5,3.1,0.3,60.8,61.1,0.2,21,3,99508.84,14215.55,2,0.3,27.7,15,1.9,2.9,73.3,50.5,62.2,2.11,1.67,14,3.7,9,3.9,2.2,17.6,17,95.6,87,0,33.5,7,3.1,24.8,10.7,14.8,0.9
"BHI SENIOR LIVING",80,6,2,0,0,0,0,0,83.3,16.7,4.5,4.5,4,4,5.6,4.9,1.3,51.6,36.9,0.4,5,0.8,14962.94,2493.82,0,0,21.8,11.2,1.1,3.5,83.9,82.8,91.8,1.71,1.26,17.5,3.7,8.9,0.9,1.3,19.3,12.3,96.8,95.4,0,65.1,8,5.4,19.4,10.4,73.2,6.8
"BHVC, LLC",82,7,1,0,0,0,0,100,0,0,2.9,2.6,3.3,3.9,4.1,3.7,0.5,52.7,44.5,1.6,59,8.4,210483.15,30069.02,0,0,24.6,14.5,1,1.2,77.8,89.9,99.2,2.01,1.12,10.2,1.8,4.9,1.5,1.8,10.6,8.8,96.5,100,0,47.5,5.5,5,12.2,10.7,23.6,15.3
"BIG ROCK SNF HOLDINGS",606,9,1,0,0,0,0,100,0,0,2.9,3.1,2.7,2.1,3.8,3.2,0.3,58.2,72.5,0.8,10,1.1,64554.83,7172.76,1,0.1,27.7,15.8,4.4,1.9,76.1,75.9,74.2,2.58,1.87,15.7,3.6,11.4,2.6,0.9,17.5,16.6,97.8,95.7,0,38.6,5.1,0.9,26.3,10.4,25.4,19.3
BIRCHWOOD,634,6,1,0,0,0,0,83.3,0,16.7,2.7,3.3,1.2,3.3,3.1,2.8,0.3,57.5,62.8,1.8,17,2.8,119841.69,19973.62,2,0.3,27.7,12.7,1.5,2.1,64.5,75.3,77.4,2.16,1.1,11.5,3.8,5.2,0.4,1.1,10.8,20.1,95.3,92.5,0,49.4,5,8,25.3,10,47.9,17.7
"BLUE CENTRAL GROUP",83,6,3,0,1,2,33.3,100,0,0,1.5,1.2,1.2,3.7,3.1,2.8,0.3,74,72.5,0.8,22,3.7,547703.34,91283.89,6,1,24.7,13,2.6,1.9,71.4,47.2,48,1.86,0.89,19,2.5,8.4,0.8,0.9,14,13.1,85.3,75.6,0,43.7,6.6,6.3,23.9,10.9,33.4,13.8
"BLUE RIDGE HEALTHCARE",84,4,3,0,0,0,0,100,0,0,1.5,2,1,1.8,3,2.8,0.2,78.8,93.8,2,30,7.5,304841.09,76210.27,1,0.3,25.9,23.5,3.6,1.3,43.1,55,54.3,2.41,1.81,19.7,2.5,8.8,2.3,0.8,26.4,28,90.1,84.2,0.1,57.6,11.1,3.6,24.2,11.7,11.8,1.7
"BLUE SPRING HEALTHCARE PARTNERS",85,5,1,0,0,0,0,100,0,0,4.4,3.6,2.8,4.8,3.5,3.2,0.5,59.9,55.5,0.5,3,0.6,25644.66,5128.93,0,0,24.4,7.3,0.8,3.2,87.9,82.8,92.3,1.57,0.47,12.1,2.9,7.8,1.4,0.6,11.9,9.5,97.1,97.4,0,44.6,7.5,2.5,29.5,11.3,41.8,17.3
"BONAMOUR HEALTH GROUP",576,6,1,0,0,1,16.7,100,0,0,1.5,1.2,2.7,3.3,3.8,3.3,1,"","","",13,2.2,429828.72,71638.12,0,0,20.3,12.1,2.3,3.3,73.6,64,83.7,1.82,1.11,13.8,4,11.3,1.3,1.4,21,14.9,91.3,97.3,0,60.8,7.4,1.9,24.2,10.5,35.8,0.7
"BONCREST RESOURCE GROUP",86,2,2,0,0,0,0,100,0,0,4,4,3,4,4,3.7,0.6,69.5,53.6,1.5,1,0.5,650,325,0,0,24.7,14.6,0.7,0.8,70.4,96.2,97.6,2.01,0.74,14.4,6.5,2.9,1.2,0.9,17,13.5,99.8,97.1,0,71.9,5,1.2,23.2,11.1,14.9,4.4
"BOOKER HOSPITAL DISTRICT",587,5,1,0,0,0,0,80,0,20,2.2,2.8,1.2,2.2,2.9,2.5,0.2,60,81.7,0.8,22,4.4,232326.73,46465.35,2,0.4,22,13.8,3.7,5.5,67.7,54.9,64.6,2.44,1.47,18,2.9,7.2,3.3,2.1,22.1,25.2,91.9,85.2,0,50,5.3,5,28,10.4,2.9,3.6
"BRADFORD MONTGOMERY",87,11,2,0,0,0,0,100,0,0,3.1,2.8,2.8,3.4,3.5,3.2,0.3,56.5,77.1,0.4,8,0.7,131385.8,11944.16,4,0.4,28,11.9,2.7,3.1,73.8,67,83.1,2.37,1.26,17.3,4.1,6,1.3,2.4,8.8,8.9,96.4,93.7,0,30.9,2.8,6.8,28.6,10.5,19.5,1.2
"BRIA HEALTH SERVICES",88,14,1,0,0,6,42.9,100,0,0,1.6,1.6,1.5,3.6,3.3,2.7,0.5,63.9,63.5,1.4,54,3.9,2125381.61,151812.97,18,1.3,26.2,15.6,2,0.9,77.1,49.7,44.3,2.27,1.61,8.7,2.6,5,0.1,0.6,12.9,11.9,83.4,66.5,0,36.7,6.4,76.8,19.1,11.1,21.1,2.5
"BRIAR HILL MANAGEMENT",89,6,1,0,0,2,33.3,100,0,0,2,2.7,3.5,1.5,3.9,3.3,0.7,56.2,54.6,0.3,4,0.7,31489.25,5248.21,0,0,30.7,15.5,1.1,4.3,69.4,90.8,97.4,3.06,2.39,21.6,4.3,6.7,0.3,1.7,28.6,26,98.7,96.4,0,67.4,11.2,1,19.9,10.7,0.9,0.5
"BRICKYARD HEALTHCARE",90,23,1,0,0,7,30.4,95.7,0,4.3,2.1,2,1.7,4.2,3.4,2.9,0.5,54.9,47.5,0.9,29,1.3,425733.6,18510.16,2,0.1,21.6,13.3,2.4,2,89.5,56.8,60.2,1.8,1.41,14.4,3.2,6.7,0,0.4,9.6,12.2,91.3,84,0,57.2,6.1,33.3,26.5,10.9,10.4,1.6
"BRIDGES HEALTH",91,28,1,0,0,1,3.6,100,0,0,3.5,3.3,2.8,3.5,3.4,3.1,0.4,54.9,50.1,0.4,41,1.5,164329.75,5868.92,3,0.1,26.3,21.7,1.6,4.6,84.8,87.3,91,2.1,1.93,10.5,3.6,8.3,1.4,0.5,8.2,6.8,98.2,98.6,0.2,36.5,2.7,1.7,23,10.6,29.8,2.1
"BRIUS MANAGEMENT",92,32,1,0,1,5,15.6,93.8,0,6.3,2.6,2.2,3.1,4.1,3.9,3.6,0.5,46.8,46.4,0.8,103,3.2,1050615.68,32831.74,7,0.2,21.6,11.3,2.1,1.5,81.4,93.3,96.2,2.29,0.98,13.1,1.4,8.5,0.8,1.1,10.2,8.5,98.6,99.3,0,26.4,6,17.5,12.4,10.9,27.6,18.3
"BROOKDALE SENIOR LIVING",93,15,10,0,0,3,20,100,0,0,3.3,3.1,4,3.7,4.8,4.3,1.2,54.9,55.3,0.8,30,2,635547.59,42369.84,3,0.2,25.3,12.3,1.8,2.5,71.7,82.5,84,1.41,0.75,14.3,4.6,9.9,2.9,1.8,22.2,14.2,94.1,95.5,0,73.4,8.2,2,16.9,10.4,26.7,19.5
"BUCKNER RETIREMENT SERVICES",94,5,1,0,0,0,0,0,100,0,4.6,4.4,4,4.2,5.2,4.8,0.8,49.1,45.1,1.5,5,1,18199.57,3639.91,1,0.2,22.6,12.4,0.7,0.9,82.1,93.1,93.4,2.2,0.96,10.9,5.4,9.6,3.1,0.4,10.5,17.1,96.5,98.9,0,60.3,2.1,1.6,17.2,11.1,22.4,6.2
"C. ROSS MANAGEMENT",95,9,2,0,1,1,11.1,88.9,0,11.1,1.6,2.1,1.7,2.2,3,2.6,0.3,51.5,62.9,0.4,25,2.8,531274.88,59030.54,1,0.1,22.9,12.7,3.8,2.6,66.5,54.5,59.2,2.22,1.77,24.7,2.9,7.7,3.3,2.1,20.8,20.4,85,85,0,42.1,7.8,6.3,26.7,13,32.9,4.3
"CADIA HEALTHCARE",96,5,1,0,1,0,0,100,0,0,4,3.2,2.8,5,3.3,3,0.7,55.3,52.1,0.3,2,0.4,109273,21854.6,0,0,19,13.2,0.2,1.6,89.2,89.2,96.1,1.89,1.13,7,2.9,7.6,1.8,0.1,11.6,8.2,97,99.3,0,52.4,3.3,4.9,23.1,9.4,29.3,3.7
"CALDERA CARE",97,14,3,0,2,2,14.3,100,0,0,2,1.7,1.9,4.1,3.4,2.9,0.6,62.3,64,1.1,69,4.9,1936041,138288.64,5,0.4,18,15.5,1.3,2.8,81.4,71,74.4,1.12,0.99,14.3,2.3,8.6,2.2,0.9,14,12.7,95.3,93.5,0,53.8,7.2,13.1,10.7,10,37.2,5.3
"CAMBRIDGE HEALTHCARE SERVICES",98,33,1,0,4,6,18.2,97,0,3,2.6,2.1,2.8,4.3,3.9,3.5,0.4,45,51.7,0.5,78,2.4,813389.19,24648.16,7,0.2,22.9,10.7,1.1,1,84,98.9,98.5,2.05,0.99,11,1.5,7.2,0.6,0.6,9.6,5.7,99.5,99.6,0.1,34.1,4.7,14.2,12.5,10.5,29.4,3.4
"CAMPBELL STREET SERVICES",99,12,2,0,1,2,16.7,100,0,0,2,2.1,2.8,2.9,3.6,3.2,0.5,58.3,58,1.1,42,3.5,507714.68,42309.56,8,0.7,18.3,18.6,0.3,1.8,77,75,90.8,2.09,1.35,15.3,2.7,6.1,1.7,2.7,24.2,21,91.8,96.9,0.4,47,5,3.3,21.1,9.7,37.6,2.1
"CANTEX CONTINUING CARE",100,34,1,0,0,1,2.9,91.2,0,8.8,2.7,2.7,1.5,4,3.3,2.8,0.4,55,57.7,1.1,51,1.5,1313708.31,38638.48,8,0.2,26.5,12.1,0.8,1.5,72,97,98,2.11,1.27,4.4,3,6.3,0.5,0.9,13.2,16.4,99.3,99.8,0,48.6,3.5,1.6,18.7,10.9,2.2,1.3
"CANYON CREEK HEALTHCARE",101,14,1,0,0,1,7.1,92.9,7.1,0,2.5,3,2,3.2,3.1,2.6,0.5,66.6,67.5,1.3,40,2.9,611455.75,43675.41,2,0.1,21.8,19.8,1.6,2.2,76.3,80.3,86.8,1.55,2.57,15.3,4.4,6.5,0.4,1.6,14.3,13.9,98.9,99.2,0,48,6.7,1.4,11.6,10.5,19.6,9.3
"CAPITAL HEALTH CARE NETWORK",607,6,1,0,1,0,0,100,0,0,1.5,1.7,2.3,2.8,3.6,3.1,0.6,52.2,52.8,1,16,2.7,222636.29,37106.05,3,0.5,29.1,13.9,1.2,2,80.2,77.6,92.9,2.07,1.81,16.3,3.5,7.2,1,0.2,17.2,13.2,95.2,99,0.1,46,6,15,26.4,11.4,32.6,0.3
"CAPSTONE MANAGEMENT",102,8,2,0,0,0,0,100,0,0,3.3,3,3.4,3.8,4.1,3.6,0.7,61.9,57.1,0,7,0.9,83012.29,10376.54,0,0,18,12.8,1.7,3.1,79.7,75.3,80.6,1.73,0.96,14.3,3.8,9.9,3.2,1.4,15.6,13.2,86.8,92.3,0.2,54.2,6.7,7.6,16.3,10.3,39.3,9.6
"CARADAY HEALTHCARE",103,21,1,0,0,3,14.3,90.5,0,9.5,2.7,2.8,1.2,4.4,3,2.7,0.4,59.9,56.9,0.4,55,2.6,743566.71,35407.94,6,0.3,22,11.1,0.8,2.4,83.1,67.4,73.9,1.8,0.91,7.9,3.5,7,0.4,0.6,12.4,12.5,97.8,95.8,0.1,56.4,4.9,4.2,20.8,10.5,55.9,18.9
"CARDON & ASSOCIATES",105,18,1,0,0,0,0,50,0,50,3.3,3.3,1.6,4.5,3.4,2.9,0.5,59.6,53,0.3,32,1.8,379046.35,21058.13,1,0.1,21.4,10.5,1,2.2,73.5,74.9,78.5,1.32,0.91,11.3,4.2,6,1,0.1,11.5,13.9,94.8,89.6,0,70,6.9,7.9,22.9,10.6,30.9,4.6
"CARE INITIATIVES",106,43,1,0,3,5,11.6,16.3,83.7,0,2.1,2.1,2.2,3.1,3.1,2.7,0.6,62,64.5,1.2,97,2.3,2572337.04,59821.79,20,0.5,22.6,15.3,2.6,2.7,77.9,68.6,81.9,1.49,1.32,22.1,3,5.6,1.5,2.8,19.9,15.5,94.8,95.3,0,47.3,5.3,6.5,21,10.1,33.7,10.9
"CARE NETWORK",107,9,2,0,1,1,11.1,100,0,0,2,1.9,1.8,3.3,3.2,2.8,0.5,68.8,70.1,0.6,23,2.6,584049.59,64894.4,1,0.1,20.9,10.7,4,2.8,81.1,71.1,78.4,1.8,0.87,20.5,2,9.3,1.4,1.1,11.9,12.2,95.6,93.9,0,50.9,4.7,9.9,21.7,10.2,24.3,5.1
"CARECORE HEALTH",108,8,1,0,1,0,0,100,0,0,1.6,1.4,1.3,4,3.4,3,0.4,71,63.1,0.8,30,3.8,675255.06,84406.88,13,1.6,23.5,16.9,1.7,2.9,74.3,47.4,71.1,1.57,1.18,12.2,2.8,7.1,0.9,0.4,10.1,13.3,88.9,89.1,0,27.8,6,41.7,23.7,11.9,16.4,0.1
CAREONE,109,37,4,0,0,0,0,100,0,0,3.6,3.2,3,4.3,3.6,3.2,0.7,38.5,43.3,0.9,41,1.1,788122.06,21300.6,2,0.1,25.3,10.2,1.2,2.3,81.5,78,81.8,1.73,0.73,17.3,3.2,10.3,1.6,1.6,12.9,9.1,94.5,93,0.1,61.6,6,10.6,16.9,10.9,40.4,22.8
"CARERITE CENTERS",110,31,7,0,0,0,0,96.8,3.2,0,3.1,2.5,2,4.6,3.4,2.9,0.6,53,52.7,0.6,34,1.1,447820.34,14445.82,3,0.1,18.8,8.2,1.2,2.9,80.8,70.1,70.5,1.54,0.65,8.8,2.6,8.3,1.1,0.4,13.5,14,93.2,88.2,0,57.9,6.6,7.8,19,10.5,28.1,3.2
CARESPRING,111,14,2,0,0,0,0,100,0,0,4.2,3.9,2.2,4.3,3.8,3.2,0.6,58.3,46.8,0.6,9,0.6,68905.08,4921.79,0,0,23.6,11.9,1.1,2,89.3,91.5,97.2,2.19,1.28,13.3,3.3,6.5,0.2,0.6,5.7,13,97.3,98.9,0,57.1,7.8,36.5,24.2,10.5,47.7,1
"CARING HEALTHCARE GROUP",113,13,1,0,0,1,7.7,53.8,0,46.2,2.7,2.7,1.8,3.9,3.5,2.8,0.4,53.7,48.7,0.4,11,0.8,197297.15,15176.7,0,0,22.7,14.9,0.6,1.1,46.9,86.6,97.9,2.22,1.19,4.8,1.7,3.4,0.3,1.9,5.2,10.8,97.7,99.6,0,29,5.2,9.9,19.8,10.6,21.3,8.2
"CARING PLACE HEALTHCARE GROUP",114,5,1,0,0,0,0,100,0,0,3.8,3.4,2.4,3.8,3.7,3.4,0.5,54.2,38.6,0.4,2,0.4,13000,2600,1,0.2,30.1,10.4,1.2,1.1,78.3,83.7,87.3,1.39,0.93,18,3.2,2.4,2.9,0.8,13.9,14.8,93.5,88.8,0,60.9,6.8,40.8,20,10.8,42.1,5.6
"CARLYLE SENIOR CARE",599,8,1,0,0,2,25,100,0,0,2.1,2.6,2.8,2,3.4,3,0.5,50.9,40.8,0.3,12,1.5,225330,28166.25,0,0,26.9,18.6,2.2,3.5,78,78.3,85.3,2.49,1.96,16.1,3.2,10,2.7,1.5,18,14.4,96.1,97.7,0.2,52.9,7.6,1.6,18.4,10.8,19.5,4.2
"CARMELITE SISTERS FOR THE AGED AND INFIRM",637,2,2,0,0,0,0,0,100,0,2,2,3,4,4.1,3.8,0.6,55,62.7,1.5,8,4,76386.42,38193.21,0,0,28.3,12.6,1.9,1.2,85.8,79.2,84.9,2.1,0.34,10.8,3.3,5.3,1.7,0.5,10.5,10.9,98.2,94.5,0,65.4,4.9,6.1,14.5,9,62.8,3
"CARMELITE SISTERS FOR THE AGED AND INFIRMED",115,4,3,0,0,0,0,0,100,0,4,3.5,3,4.5,4.2,3.7,0.6,55.6,62.2,0.7,11,2.8,63586.81,15896.7,0,0,24.9,8.8,1.3,2.3,86.7,70.8,74.8,1.68,0.63,12,2.7,5.3,3,1,20.1,12.6,96.3,85.6,0,58.1,8,1.7,11.4,9.6,24.4,1.9
"CARROLTON HEALTH",116,6,1,0,0,3,50,100,0,0,1.5,1.8,1.8,2.2,3.5,3.1,0.3,57.3,40.4,1.3,5,0.8,122364.94,20394.16,1,0.2,25.2,18.8,1,1.9,73.6,45,47,1.4,1.68,10.4,2.1,17.3,0.4,2.1,26,16.2,89.1,74.9,0,36.7,8.5,0.2,21.1,11,15.5,1.3
"CASCADES HEALTHCARE",117,19,3,1,2,7,36.8,78.9,0,21.1,2.3,1.7,1.9,4.4,3.5,3,0.7,62.8,54.5,0.8,103,5.4,1731038.39,91107.28,10,0.5,21.4,9.2,2,2.1,75.1,68.9,78.5,1.31,1,16.4,2.6,7.1,0.8,0.9,10.9,11.4,92.8,89.3,0,42.4,4.9,10.8,20.5,10,43.8,16.2
"CASCADIA HEALTHCARE",118,42,6,1,2,5,11.9,90.5,9.5,0,3.1,2.7,2.8,4.3,3.7,3.1,0.8,61.6,53.3,0.7,140,3.3,1759257.51,41887.08,7,0.2,17,12.7,1.3,1.4,77.6,78.7,83.8,1.02,1.17,16.9,3.4,6,1.6,1.1,17.5,13.8,94.8,96.1,0,46.1,4.7,10.2,14.1,9.8,37,12.1
